Attendance,StudyHours,AssignmentScore,PreviousGPA,FinalGrade
85,4,78,7.2,B
92,6,90,8.5,A
60,2,55,5.8,C
74,3,68,6.5,B
95,7,95,9.1,A
55,1,45,4.9,D
88,5,82,7.8,A
70,3,65,6.2,B
45,1,40,4.2,F
78,4,72,7.0,B
91,6,88,8.3,A
63,2,58,5.5,C
82,5,79,7.5,B
50,1,48,4.5,D
96,7,97,9.5,A
67,3,62,6.0,C
89,5,85,8.0,A
73,3,70,6.8,B
58,2,52,5.2,C
84,5,80,7.6,B
93,6,91,8.7,A
48,1,42,4.3,F
77,4,74,7.1,B
62,2,57,5.6,C
87,5,83,7.9,A
52,1,47,4.7,D
94,7,93,9.0,A
69,3,64,6.3,C
81,4,77,7.4,B
44,1,38,4.0,F
90,6,87,8.2,A
65,2,60,5.9,C
79,4,73,7.2,B
56,2,50,5.0,D
97,7,98,9.6,A
71,3,67,6.6,B
86,5,81,7.7,B
53,1,46,4.6,D
92,6,89,8.4,A
68,3,63,6.1,C
83,5,78,7.5,B
47,1,41,4.1,F
76,4,71,7.0,B
61,2,56,5.4,C
88,5,84,8.0,A
57,2,51,5.1,C
95,7,96,9.3,A
72,3,68,6.7,B
80,4,76,7.3,B
49,1,44,4.4,F
91,6,90,8.6,A
66,2,61,6.0,C
85,5,82,7.8,B
54,1,48,4.8,D
98,7,99,9.8,A
70,3,66,6.5,B
84,5,79,7.6,B
59,2,53,5.3,C
89,5,86,8.1,A
75,4,72,7.0,B
